,Month,Minimum T_rural 2000,Minimum T_urban 2000,Minimum T_rural 2001,Minimum T_urban 2001,Minimum T_rural 2002,Minimum T_urban 2002,Minimum T_rural 2003,Minimum T_urban 2003,Minimum T_rural 2004,Minimum T_urban 2004,Minimum T_rural 2005,Minimum T_urban 2005,Minimum T_rural 2006,Minimum T_urban 2006,Minimum T_rural 2007,Minimum T_urban 2007,Minimum T_rural 2008,Minimum T_urban 2008,Minimum T_rural 2009,Minimum T_urban 2009,Minimum T_rural 2010,Minimum T_urban 2010,Minimum T_rural 2011,Minimum T_urban 2011,Minimum T_rural 2012,Minimum T_urban 2012,Minimum T_rural 2013,Minimum T_urban 2013,Minimum T_rural 2014,Minimum T_urban 2014,Minimum T_rural 2015,Minimum T_urban 2015,Minimum T_rural 2016,Minimum T_urban 2016
0,January,-4.703703703703703,-1.962962962962964,-4.014336917562725,-0.8602150537634401,-1.3440860215053756,1.4874551971326175,-5.967741935483871,-3.942652329749104,-6.290322580645163,-4.946236559139785,-3.010752688172042,-1.5591397849462356,-0.07168458781362001,2.258064516129031,-1.0931899641577065,2.813620071684587,-3.172043010752689,-0.03584229390681099,-5.896057347670251,-3.6738351254480284,-4.211469534050179,-1.6308243727598557,-5.161290322580644,-2.3118279569892466,-1.8637992831541221,1.2007168458781377,-1.8817204301075268,1.6845878136200712,-7.885304659498208,-5.21505376344086,-5.125448028673835,-3.064516129032258,-5.4480286738351245,-2.5448028673835132
1,February,-2.3946360153256703,1.0153256704980862,-1.825396825396825,0.1388888888888889,-2.5396825396825404,1.1309523809523805,-5.1190476190476195,-2.6785714285714293,-3.735632183908047,-0.6321839080459767,-2.5595238095238098,0.2579365079365085,-3.0555555555555554,-0.4166666666666667,-5.932539682539682,-3.1150793650793656,-2.758620689655172,-0.21072796934865956,-3.0753968253968247,-0.43650793650793596,-4.365079365079366,-1.6865079365079358,-2.3214285714285707,0.3968253968253974,0.07662835249042309,3.7739463601532584,-2.4603174603174596,0.952380952380953,-4.404761904761904,-1.9444444444444444,-9.126984126984128,-7.142857142857143,-1.819923371647509,0.38314176245210757
2,March,2.7240143369175644,6.0394265232974895,0.1254480286738355,2.616487455197133,1.2903225806451601,3.3691756272401423,0.6272401433691775,2.8853046594982086,1.9534050179211466,4.193548387096773,-0.14336917562724003,2.0967741935483866,1.3440860215053776,3.960573476702511,1.0215053763440847,4.193548387096773,1.3440860215053776,3.8172043010752668,0.8064516129032265,3.0824372759856624,3.7455197132616487,6.738351254480289,1.648745519713262,4.1218637992831555,6.2186379928315425,9.157706093189965,0.215053763440862,3.781362007168458,-2.1863799283154113,0.215053763440862,-1.1507936507936516,1.3690476190476195,3.7992831541218623,6.397849462365591
3,April,6.01851851851852,8.722222222222223,6.4074074074074066,8.666666666666666,7.314814814814813,9.87037037037037,5.444444444444443,7.777777777777778,6.962962962962962,8.907407407407407,6.518518518518519,8.944444444444445,7.648148148148148,10.388888888888891,7.037037037037035,10.09259259259259,7.685185185185187,9.981481481481483,6.611111111111111,9.129629629629628,6.981481481481484,10.5,8.51851851851852,11.11111111111111,6.277777777777776,10.203703703703704,6.925925925925927,10.574074074074073,5.499999999999999,8.314814814814817,6.129629629629629,9.222222222222221,5.62962962962963,8.333333333333334
4,May,12.096774193548388,15.878136200716844,10.824372759856631,12.956989247311826,10.358422939068102,13.387096774193546,10.824372759856631,12.688172043010752,15.501792114695341,16.935483870967744,9.014336917562723,12.114695340501791,10.931899641577063,14.211469534050178,11.594982078853045,16.774193548387096,9.42652329749104,12.670250896057347,12.204301075268818,14.677419354838712,14.086021505376342,16.03942652329749,13.88888888888889,17.4910394265233,14.89247311827957,18.136200716845874,12.096774193548388,15.60931899641577,12.258064516129032,14.623655913978492,14.247311827956992,16.917562724014335,11.594982078853045,13.74551971326165
5,June,17.40740740740741,20.01851851851852,17.59259259259259,20.314814814814813,16.810699588477366,19.629629629629626,16.11111111111111,18.074074074074073,16.185185185185183,19.129629629629633,17.51851851851852,20.129629629629633,16.907407407407405,19.370370370370367,17.314814814814813,21.888888888888893,17.77777777777778,20.666666666666668,16.796296296296298,19.40740740740741,20.092592592592595,22.407407407407405,18.199233716475096,22.43295019157088,16.592592592592595,20.777777777777782,18.148148148148152,21.611111111111114,17.40740740740741,20.01851851851852,18.555555555555557,20.425925925925924,16.759259259259256,19.703703703703706
6,July,17.580645161290324,20.50179211469534,16.7921146953405,20.23297491039427,19.96415770609319,22.634408602150536,19.247311827956985,21.451612903225808,19.74910394265233,22.43727598566308,20.537634408602152,22.90322580645161,20.824372759856633,23.494623655913983,19.06810035842294,23.40501792114695,19.569892473118276,22.258064516129032,17.795698924731184,20.806451612903224,21.379928315412187,23.88888888888889,21.32616487455197,25.555555555555557,21.774193548387093,25.143369175627242,21.379928315412187,24.3010752688172,18.620071684587813,21.290322580645164,19.76702508960573,22.634408602150536,21.003584229390682,23.924731182795696
7,August,18.225806451612907,20.752688172043015,19.444444444444443,22.56272401433692,19.96415770609319,22.32974910394265,19.96415770609319,22.150537634408604,18.494623655913983,20.663082437275982,20.519713261648747,22.974910394265237,20.053763440860212,23.27956989247312,19.587813620071685,23.261648745519715,17.060931899641577,20.19713261648746,19.659498207885306,22.56272401433692,20.0,22.99283154121864,18.88888888888889,22.83154121863799,19.80286738351254,23.60215053763441,18.261648745519715,22.00716845878136,16.971326164874554,20.304659498207887,17.939068100358426,21.541218637992834,20.645161290322577,23.494623655913983
8,September,12.981481481481483,16.055555555555557,12.462962962962962,16.51851851851852,14.851851851851855,18.388888888888886,15.185185185185187,17.629629629629633,15.518518518518517,18.944444444444443,15.814814814814817,19.388888888888893,13.703703703703702,16.666666666666668,14.703703703703704,19.777777777777775,15.481481481481483,18.462962962962965,14.444444444444445,17.48148148148148,15.314814814814817,18.79629629629629,16.259259259259256,19.925925925925924,15.296296296296296,19.0,13.425925925925924,17.944444444444443,15.018518518518517,18.277777777777782,16.333333333333332,19.222222222222218,17.185185185185183,20.25925925925926
9,October,7.0071684587813605,11.308243727598564,5.931899641577062,10.555555555555555,8.924731182795698,11.14695340501792,6.86379928315412,9.677419354838712,7.956989247311826,11.362007168458781,9.498207885304659,11.845878136200716,7.168458781362009,10.842293906810035,11.03942652329749,15.376344086021508,7.0071684587813605,10.179211469534048,7.903225806451612,10.842293906810035,8.27956989247312,11.881720430107528,8.315412186379929,11.953405017921147,9.623655913978492,12.903225806451612,9.408602150537636,13.763440860215054,9.2831541218638,12.240143369175627,6.810035842293907,10.770609318996417,9.516129032258066,12.759856630824373
10,November,0.777777777777777,5.12962962962963,3.2592592592592595,8.074074074074073,1.6296296296296278,4.555555555555557,4.722222222222222,7.055555555555557,3.7962962962962976,6.87037037037037,2.5,5.648148148148147,4.796296296296296,9.425925925925927,2.5925925925925912,5.555555555555555,2.8888888888888906,5.166666666666665,4.962962962962961,8.351851851851851,2.703703703703704,6.574074074074075,3.944444444444445,8.018518518518517,0.6851851851851857,5.740740740740742,1.1666666666666674,4.87037037037037,1.01851851851852,3.51851851851852,4.981481481481483,8.370370370370372,2.1455938697317993,6.475095785440613
11,December,-5.681003584229391,-3.064516129032258,0.250896057347671,3.7455197132616487,-3.4050179211469533,-0.5734767025089601,-2.6881720430107534,0.215053763440862,-2.150537634408602,0.7168458781362,-3.5483870967741935,-0.6630824372759866,0.16129032258064452,4.874551971326165,-0.7885304659498201,1.9354838709677422,-1.2365591397849467,0.5913978494623646,-2.706093189964158,0.44802867383512457,-3.9247311827956994,-1.5412186379928312,0.035842293906809014,4.534050179211471,1.4874551971326175,5.268817204301076,-0.12345679012345635,2.242798353909466,0.23297491039426652,2.204301075268818,4.265232974910395,7.0250896057347685,-1.1290322580645156,1.7383512544802886
