,Month,Maximum T_rural 2000,Maximum T_urban 2000,Maximum T_rural 2001,Maximum T_urban 2001,Maximum T_rural 2002,Maximum T_urban 2002,Maximum T_rural 2003,Maximum T_urban 2003,Maximum T_rural 2004,Maximum T_urban 2004,Maximum T_rural 2005,Maximum T_urban 2005,Maximum T_rural 2006,Maximum T_urban 2006,Maximum T_rural 2007,Maximum T_urban 2007,Maximum T_rural 2008,Maximum T_urban 2008,Maximum T_rural 2009,Maximum T_urban 2009,Maximum T_rural 2010,Maximum T_urban 2010,Maximum T_rural 2011,Maximum T_urban 2011,Maximum T_rural 2012,Maximum T_urban 2012,Maximum T_rural 2013,Maximum T_urban 2013,Maximum T_rural 2014,Maximum T_urban 2014,Maximum T_rural 2015,Maximum T_urban 2015,Maximum T_rural 2016,Maximum T_urban 2016
0,January,5.12962962962963,5.592592592592594,5.14336917562724,4.946236559139787,9.229390681003583,9.444444444444445,1.8458781362007157,2.0967741935483866,1.5591397849462356,1.5770609318996403,5.304659498207885,5.806451612903227,10.663082437275985,10.268817204301076,8.548387096774196,10.358422939068102,6.953405017921146,7.150537634408601,2.8494623655913998,2.9749103942652315,4.964157706093191,5.465949820788529,3.2078853046594977,3.530465949820787,8.817204301075268,9.928315412186379,7.347670250896057,8.906810035842293,2.7777777777777777,3.046594982078853,3.7992831541218623,3.9784946236559153,5.358422939068102,5.5197132616487465
1,February,9.099616858237548,9.080459770114942,9.00793650793651,8.789682539682538,10.595238095238095,10.575396825396824,3.0753968253968247,3.392857142857141,6.85823754789272,6.896551724137932,7.75793650793651,7.638888888888889,7.599206349206351,7.460317460317461,2.658730158730158,4.0476190476190474,8.371647509578544,8.314176245210726,9.126984126984128,8.75,3.1746031746031753,4.305555555555555,9.523809523809526,9.702380952380954,10.613026819923371,11.64750957854406,5.7738095238095255,7.559523809523808,5.376984126984128,5.5357142857142865,1.7063492063492052,1.3690476190476195,7.777777777777778,7.81609195402299
2,March,15.57347670250896,15.734767025089603,10.698924731182794,10.071684587813621,13.189964157706093,13.17204301075269,12.562724014336915,12.240143369175627,13.118279569892472,12.939068100358421,9.677419354838712,9.641577060931898,13.763440860215054,13.207885304659499,13.584229390681005,14.157706093189965,13.046594982078853,13.207885304659499,11.487455197132618,11.505376344086024,14.53405017921147,14.928315412186379,12.043010752688174,12.634408602150538,17.885304659498203,18.9426523297491,9.372759856630823,11.236559139784946,9.354838709677418,9.856630824372761,10.143369175627239,10.833333333333334,16.236559139784944,16.415770609318997
3,April,17.166666666666668,17.703703703703706,19.555555555555557,18.444444444444443,20.074074074074076,20.33333333333333,17.51851851851852,17.59259259259259,18.259259259259256,18.388888888888886,19.296296296296298,19.51851851851852,20.611111111111107,20.666666666666668,16.27777777777778,18.333333333333332,18.759259259259256,18.72222222222222,18.814814814814813,18.907407407407405,20.944444444444443,21.962962962962962,20.074074074074076,21.20370370370371,19.574074074074076,20.38888888888889,18.981481481481485,20.870370370370367,17.814814814814813,18.037037037037038,18.925925925925924,19.129629629629633,18.759259259259256,18.592592592592595
4,May,24.247311827956985,24.89247311827957,24.01433691756272,22.1326164874552,23.225806451612907,23.494623655913983,19.516129032258064,19.946236559139788,26.469534050179206,27.043010752688172,21.21863799283154,21.487455197132615,23.88888888888889,23.960573476702507,25.591397849462364,27.060931899641574,22.204301075268816,22.616487455197127,22.99283154121864,23.65591397849462,25.179211469534053,25.483870967741936,25.23297491039427,26.702508960573475,26.236559139784944,27.616487455197127,23.118279569892472,25.23297491039427,24.247311827956985,24.480286738351253,26.989247311827953,26.863799283154126,21.18279569892473,21.505376344086017
5,June,27.90740740740741,29.055555555555557,29.09259259259259,29.0,29.46296296296296,29.67078189300411,25.888888888888886,26.629629629629633,27.055555555555557,28.592592592592595,28.666666666666668,29.51851851851852,28.70370370370371,29.166666666666668,29.037037037037035,31.22222222222222,30.314814814814813,30.944444444444443,27.01851851851852,28.01851851851852,31.92592592592593,32.074074074074076,30.27777777777778,31.70498084291188,29.59259259259259,31.29629629629629,28.444444444444443,30.27777777777778,28.333333333333332,28.518518518518515,28.259259259259256,28.79629629629629,28.759259259259256,28.740740740740744
6,July,27.688172043010756,28.584229390681003,28.512544802867385,29.3010752688172,31.827956989247316,32.401433691756274,29.193548387096776,30.268817204301076,29.390681003584227,30.752688172043015,30.501792114695338,31.827956989247316,32.31182795698924,32.831541218637994,30.824372759856633,32.84946236559139,30.94982078853046,31.68458781362007,29.587813620071685,30.25089605734767,33.62007168458781,33.78136200716846,33.85304659498208,35.716845878136205,33.15412186379928,35.12544802867384,30.878136200716842,32.81362007168459,29.856630824372758,30.32258064516129,30.268817204301076,30.340501792114694,32.007168458781365,32.562724014336915
7,August,27.77777777777778,28.31541218637993,30.537634408602155,31.09318996415771,31.61290322580645,31.756272401433687,29.283154121863795,30.465949820788538,28.351254480286737,29.534050179211462,30.16129032258065,31.18279569892473,31.523297491039425,32.562724014336915,30.913978494623652,32.61648745519713,29.157706093189965,29.695340501792113,29.89247311827957,30.824372759856633,30.465949820788538,31.057347670250895,29.91039426523298,31.11111111111111,30.555555555555557,32.29390681003584,28.65591397849462,30.32258064516129,28.028673835125446,28.261648745519715,29.9820788530466,30.16129032258065,31.738351254480285,31.989247311827953
8,September,24.0,24.351851851851848,24.425925925925927,25.166666666666668,26.851851851851848,27.462962962962965,24.777777777777775,25.72222222222222,25.98148148148148,27.351851851851855,28.61111111111111,29.648148148148145,23.462962962962965,24.333333333333332,28.129629629629633,29.555555555555557,26.074074074074076,26.333333333333336,24.037037037037035,24.907407407407405,27.98148148148148,28.537037037037035,25.18518518518518,26.611111111111114,26.38888888888889,27.98148148148148,26.240740740740744,27.462962962962965,25.72222222222222,25.962962962962965,27.944444444444443,27.740740740740744,27.629629629629633,27.51851851851852
9,October,20.878136200716842,20.734767025089607,20.645161290322577,20.98566308243728,17.741935483870968,18.100358422939067,18.763440860215056,18.978494623655912,18.046594982078854,18.906810035842295,19.121863799283158,19.569892473118276,18.530465949820794,20.19713261648746,23.835125448028677,24.569892473118276,19.13978494623656,19.42652329749104,17.99283154121864,18.81720430107527,20.19713261648746,20.555555555555557,19.06810035842294,20.23297491039427,19.587813620071685,21.11111111111111,20.358422939068095,21.75627240143369,19.83870967741935,19.731182795698924,19.06810035842294,19.05017921146954,21.200716845878134,21.236559139784944
10,November,12.796296296296296,12.388888888888888,17.462962962962962,17.38888888888889,12.111111111111109,12.148148148148149,15.88888888888889,15.907407407407407,14.537037037037035,14.851851851851855,15.351851851851851,15.648148148148145,14.75925925925926,16.537037037037035,13.129629629629628,13.129629629629628,11.962962962962962,12.074074074074074,14.685185185185183,15.444444444444445,14.166666666666666,14.11111111111111,16.64814814814815,17.27777777777778,11.370370370370372,12.944444444444443,11.703703703703704,13.203703703703702,11.629629629629628,11.277777777777777,16.055555555555557,16.12962962962963,15.907407407407407,15.402298850574713
11,December,3.405017921146955,3.5842293906810045,10.931899641577063,10.985663082437277,5.913978494623658,6.14695340501792,7.526881720430107,7.168458781362009,8.243727598566307,8.584229390681005,5.734767025089605,5.896057347670249,11.397849462365592,13.136200716845881,7.222222222222222,7.688172043010752,8.422939068100359,8.512544802867382,5.842293906810036,6.917562724014338,4.3906810035842305,4.354838709677418,11.344086021505378,12.222222222222221,10.376344086021508,11.989247311827956,8.620071684587813,10.185185185185187,8.530465949820787,8.064516129032258,14.605734767025089,14.480286738351253,8.17204301075269,8.70967741935484
